ShotNumber,Date,Time,FrameRate,Shutter,fnumber
122,,,180000,1/512000,8
123,2023-05-25,14:14:01,180000,1/512000,8
124,2023-05-25,14:15:44,180000,1/512000,8
125,2023-07-26,15:12:00,180000,1/512000,8
126,2023-08-04,12:33:28,288000,1/600000,8
127,2023-08-04,12:37:37,288000,1/600000,8
128,2023-08-04,12:38:03,1000000,tbd,8
129,2023-08-04,14:19:51,1000000,tbd,4
130,2023-08-04,14:20:10,1000000,tbd,4
131,2023-08-04,14:20:27,288000,1/700000,4
132,2023-08-04,15:46:57,288000,1/700000,8
133,2024-10-18,12:41:44,288000,1/700000,8
134,2024-10-21,16:00:15,288000,1/600000,8
135,2024-10-21,16:50:20,288000,1/700000,8
136,2024-10-21,16:52:30,288000,1/700000,8
137,2024-10-21,17:12:10,288000,1/700000,8
