ShotNumber,Fuel,P0f,P0ox,mdot_target,FuelSet,OxSet,mdotf,mdoto,mdott,igniter,engine,finj,h,Outcome,Comments
105,C2H4,800,800,250,No colour 0,Blue 5,35,194,229,Nonel,Radial Discrete,"""Rook"" plug injector",10mm,No visible detonation,Camera underexposed
106,C2H4,800,800,250,No colour 0,Blue 5,35,194,229,Nonel,Radial Discrete,"""Rook"" plug injector",10mm,Counter-rotating,
107,C2H4,500,800,200,No colour 8,Blue 4,46,180,226,Nonel,Radial Discrete,"""Rook"" plug injector",10mm,No wave mode observed,
108,C2H4,500,800,200,No colour 6,Blue 4,42,180,222,Nonel,Radial Discrete,"""Rook"" plug injector",10mm,2 counter-rotating pairs,
109,C2H4,500,800,200,No colour 4,Blue 4,40,180,220,Nonel,Radial Discrete,"""Rook"" plug injector",10mm,2 counter-rotating pairs,
110,C2H4,500,800,200,No colour 2,Blue 4,36,180,216,Nonel,Radial Discrete,"""Rook"" plug injector",10mm,2 counter-rotating pairs,
111,C2H4,400,800,100,No colour 6,Red 0,40,155,195,Nonel,Radial Discrete,"""Rook"" plug injector",10mm,2 counter-rotating pairs,
112,C2H4,400,800,100,No colour 4,Red 0,38,155,193,Nonel,Radial Discrete,"""Rook"" plug injector",10mm,3 waves,
113,C2H4,400,800,100,No colour 2,Red 0,34,155,189,Nonel,Radial Discrete,"""Rook"" plug injector",10mm,3 waves,
114,C2H4,300,400,75,No colour 1,Red 0,16,58,74,Nonel,Radial Discrete,"""Rook"" plug injector",10mm,No data recorded,Trigger error
115,C2H4,300,400,75,No colour 1,Red 0,16,58,74,Nonel,Radial Discrete,"""Rook"" plug injector",10mm,2 counter-rotating pairs,
116,C2H4,300,400,75,No colour 2,Red 0,19,58,77,Nonel,Radial Discrete,"""Rook"" plug injector",10mm,2 counter-rotating pairs,
117,C2H4,300,400,75,No colour 0.5,Red 0,14,58,72,Nonel,Radial Discrete,"""Rook"" plug injector",10mm,2 counter-rotating pairs,
118,C2H4,250,300,60,No colour 0.5,Red 0,11,46,57,Nonel,Radial Discrete,"""Rook"" plug injector",10mm,2 counter-rotating pairs,
119,C2H4,250,300,60,No colour 1,Red 0,15,46,61,Nonel,Radial Discrete,"""Rook"" plug injector",10mm,2 counter-rotating pairs,
120,C2H4,500,700,200,No colour 8,Blue 7,46,155,201,LE,Radial Discrete,"""Rook"" plug injector",10mm,4 counter-rotating pairs,
121,C2H4,500,700,200,No colour 8,Blue 7,46,155,201,LE,Radial Discrete,"""Rook"" plug injector",10mm,No data recorded,Trigger error
122,C2H4,500,700,200,No colour 8,Blue 7,46,155,201,LE,Radial Discrete,"""Rook"" plug injector",10mm,3 counter-rotating pairs,
